iter	Passed	Remaining
1401	50792	3550
1402	50827	3514
1403	50859	3477
1404	50893	3441
1405	50926	3404
1406	50961	3368
1407	50993	3331
1408	51027	3295
1409	51092	3261
1410	51126	3224
1411	51163	3188
1412	51200	3152
1413	51236	3116
1414	51271	3079
1415	51306	3043
1416	51341	3007
1417	51373	2970
1418	51407	2934
1419	51440	2898
1420	51474	2861
1421	51539	2827
1422	51573	2790
1423	51609	2754
1424	51649	2718
1425	51682	2681
1426	51717	2645
1427	51751	2609
1428	51785	2572
1429	51818	2536
1430	51852	2500
1431	51886	2463
1432	51925	2427
1433	51959	2391
1434	52025	2356
1435	52061	2320
1436	52103	2284
1437	52137	2247
1438	52174	2211
1439	52206	2175
1440	52240	2138
1441	52273	2102
1442	52308	2066
1443	52343	2029
1444	52377	1993
1445	52409	1957
1446	52477	1922
1447	52511	1885
1448	52552	1849
1449	52586	1813
1450	52622	1777
1451	52656	1740
1452	52688	1704
1453	52722	1667
1454	52755	1631
1455	52787	1595
1456	52819	1558
1457	52852	1522
1458	52911	1486
1459	52945	1450
1460	52981	1414
1461	53018	1378
1462	53052	1341
1463	53087	1305
1464	53120	1269
1465	53154	1232
1466	53186	1196
1467	53221	1160
1468	53254	1123
1469	53288	1087
1470	53321	1051
1471	53381	1015
1472	53415	979
1473	53451	942
1474	53486	906
1475	53522	870
1476	53556	833
1477	53592	797
1478	53627	761
1479	53662	725
1480	53695	688
1481	53761	652
1482	53796	616
1483	53837	580
1484	53871	544
1485	53905	507
1486	53938	471
1487	53970	435
1488	54003	398
1489	54037	362
1490	54070	326
1491	54103	290
1492	54135	253
1493	54197	217
1494	54232	181
1495	54271	145
1496	54304	108
1497	54338	72
1498	54374	36
1499	54409	0
